,date_of_purchase,date_of_encashment,standardised_political_party_name,prefix_bond_code,bond_number,bond_type,amount,pay_branch_code,pay_branch_state,pay_branch_ciy,standardised_purchaser_name,organisation_or_individual,issue_branch_code,issue_branch_state,issue_branch_city,status
0,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,4636,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
1,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6303,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
2,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6335,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
3,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6345,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
4,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6324,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
5,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,4633,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
6,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6327,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
7,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6322,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
8,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6329,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
9,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6315,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
10,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6347,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
11,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6338,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
12,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6314,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
13,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6319,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
14,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6302,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
15,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6334,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
16,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6305,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
17,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6336,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
18,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,4615,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
19,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6266,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
20,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6332,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
21,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,4634,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
22,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6313,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
23,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6341,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
24,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6333,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
25,16-04-2019,18-04-2019,Bharatiya Janata Party,OC,6340,1 Crore Bond,10000000,`00691,Delhi,New Delhi,KEVENTER FOODPARK INFRA LIMITED,Organisation,`00001,West Bengal,Kolkata,Paid
